datetime,epoch_seconds,event,area,addr,value,detail
2026-07-29 12:19:59,1785295199.810,cycle_start,,,,MC0/MC1 blue run together
2026-07-29 12:19:59,1785295199.847,machine_start,,,,mc0 blue material/processed product
2026-07-29 12:19:59,1785295199.849,machine_start,,,,mc1 blue material/processed product
2026-07-29 12:19:59,1785295199.912,write_coil,coil,3,0,MC0 Start
2026-07-29 12:19:59,1785295199.923,write_coil,coil,12,0,MC1 Start
2026-07-29 12:19:59,1785295199.924,write_coil,coil,2,1,MC0 Reset
2026-07-29 12:19:59,1785295199.935,write_coil,coil,11,1,MC1 Reset
2026-07-29 12:20:00,1785295200.034,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': False, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': False, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:20:00,1785295200.265,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': False, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': False, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:20:00,1785295200.491,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': False, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': False, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:20:00,1785295200.629,write_coil,coil,2,0,MC0 Reset
2026-07-29 12:20:00,1785295200.640,write_coil,coil,11,0,MC1 Reset
2026-07-29 12:20:00,1785295200.736,snapshot,modbus,,"{'vision_value': 0, 'blue_detected': False, 'mc0_busy': False, 'mc0_error': False, 'mc0_progress': 0, 'mc1_busy': False, 'mc1_error': False, 'mc1_progress': 0, 'pusher_front': False, 'pusher_back': True, 'exit_sensor': True, 'pusher_busy': False, 'pusher_pending': 0}",periodic state
2026-07-29 12:20:00,1785295200.781,write_coils,coil,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",count=32
2026-07-29 12:20:00,1785295200.782,process_stop,,,,All outputs stopped
